scenario,seed,drift_level,accuracy,f1,roc_auc,precision,recall,rt_psi,rt_entropy,rt_stability,rt_model_score,rd_data_anomaly_rate,rd_data_score_mean,agg_unified_mean,agg_unified_std,agg_threshold_hits,agg_w_data,agg_w_model
B,46,2.0,0.99746875,0.9841642228739003,0.9996216092957815,0.983203125,0.9851272015655578,0.5177465798834597,0.5693376160841768,0.001285173784180157,0.29620891981877323,0.27656875,0.4840533329454822,0.34065886570314524,0.041529405351638675,1.25e-05,0.3,0.7
B,46,4.0,0.99746875,0.9841642228739003,0.9996216092957815,0.983203125,0.9851272015655578,5.2910677183623465,0.4309195526645995,0.0006689416503170043,0.48971322761683145,0.98666875,0.5841814954797625,0.5156767191437762,0.03189260625534386,0.707225,0.3,0.7
B,47,0.0,0.99735,0.9834284374267177,0.9996708483375714,0.982890625,0.9839668387298608,0.36391786946714255,0.4965217384659147,2.309945516044047e-07,0.22616408252861517,0.0033,0.4022737379445958,0.23087253905449828,0.03798234968694007,0.0,0.3,0.7
B,47,0.5,0.99735,0.9834284374267177,0.9996708483375714,0.982890625,0.9839668387298608,0.2527650750639152,0.49688130660973623,0.00047296963880537086,0.21489066602651039,0.01096875,0.4112117841113411,0.22854534303031396,0.04016218777690401,0.0,0.3,0.7
B,47,1.0,0.99735,0.9834284374267177,0.9996708483375714,0.982890625,0.9839668387298608,0.14347382224505079,0.5006792091448817,0.00013103500807030237,0.1915975327770132,0.0497125,0.43197190631655175,0.22837722135079952,0.04423272240581925,0.0,0.3,0.7
B,47,1.5,0.99735,0.9834284374267177,0.9996708483375714,0.982890625,0.9839668387298608,0.1052435341520317,0.5131076966290741,0.0006817996995303054,0.20086651297909294,0.17304375,0.46115322273361925,0.258914010452699,0.04696705831841472,0.0,0.3,0.7
B,47,2.0,0.99735,0.9834284374267177,0.9996708483375714,0.982890625,0.9839668387298608,0.31295082753375464,0.5381615966541629,0.0021018857568931033,0.268955638000685,0.41555,0.4938340696252759,0.33136341951466014,0.0441043814302992,0.0,0.3,0.7
B,47,4.0,0.99735,0.9834284374267177,0.9996708483375714,0.982890625,0.9839668387298608,5.505545314215662,0.26122242101681986,0.0014796949780703068,0.4458681306674435,0.99679375,0.5932440756897355,0.4984131747889396,0.02966203758907756,0.50175625,0.3,0.7
B,48,0.0,0.99699375,0.9812028606041658,0.9996788410537076,0.98078125,0.9816248338415826,1.125873372014172,0.48976340993415923,4.900422924661202e-05,0.35161873571734126,0.00526875,0.4116871945710683,0.3200973808801677,0.038868423884249256,0.000125,0.3,0.7
B,48,0.5,0.99699375,0.9812028606041658,0.9996788410537076,0.98078125,0.9816248338415826,0.46702286844376684,0.490892363041419,0.00011512709259731854,0.24421152013752986,0.00813125,0.4178796193989863,0.2536481159145689,0.041008349542781215,0.0,0.3,0.7
B,48,1.0,0.99699375,0.9812028606041658,0.9996788410537076,0.98078125,0.9816248338415826,0.29637577366534706,0.49444665998403725,0.00020833253129470814,0.2185386089615303,0.03123125,0.4358620496518208,0.2489544052670145,0.042781499933569694,0.0,0.3,0.7
